X1,Y1,sigma_xx,sigma_yy,sigma_zz,sigma_xy,,X,Y,u_x,u_y,|u|
1.523363809,0.128986792,-29.08523467,-68.68467895,-29.33097409,1.219315206,,0.00E+00,1.36E-01,0.00E+00,-1.41E-04,1.41E-04
0.642215844,0.152098557,-29.0754856,-68.62301637,-29.30955059,0.471746181,,0.00E+00,5.43E-01,0.00E+00,-5.39E-04,5.39E-04
3.067419917,0.022663531,-29.24001373,-68.44775827,-29.3063316,3.143217103,,0.00E+00,5.43E-01,0.00E+00,-5.39E-04,5.39E-04
0.520487975,0.158353015,-29.03124462,-68.53633694,-29.27027447,0.379242737,,0.00E+00,9.76E-01,0.00E+00,-9.19E-04,9.19E-04
1.038860792,0.150845478,-29.01414911,-68.53812291,-29.26568161,0.785649442,,0.00E+00,7.59E-01,0.00E+00,-7.35E-04,7.35E-04
1.742752371,0.130661288,-28.98161362,-68.50750598,-29.24673588,1.432563357,,0.00E+00,8.68E-01,0.00E+00,-8.28E-04,8.28E-04
1.168182799,0.151035376,-28.97982991,-68.48607068,-29.23977018,0.893986407,,0.00E+00,6.51E-01,0.00E+00,-6.39E-04,6.39E-04
0.128550807,0.165138122,-28.99440152,-68.45597228,-29.23511214,0.092419241,,0.00E+00,9.76E-01,0.00E+00,-9.19E-04,9.19E-04
2.370524703,0.105821144,-28.89707403,-68.28787387,-29.15548437,2.141657148,,0.00E+00,9.76E-01,0.00E+00,-9.19E-04,9.19E-04
3.19864633,0.026904101,-29.05848148,-68.0704309,-29.13867371,3.33241049,,0.00E+00,1.32E+00,0.00E+00,-1.19E-03,1.19E-03
1.567385243,0.151361355,-28.8462986,-68.27597781,-29.13668292,1.25264679,,0.00E+00,1.15E+00,0.00E+00,-1.06E-03,1.06E-03
2.058737656,0.130661288,-28.82668777,-68.23090919,-29.11727909,1.765622341,,0.00E+00,1.24E+00,0.00E+00,-1.12E-03,1.12E-03
1.701490687,0.152749109,-28.77741115,-68.16223041,-29.08189247,1.381880372,,0.00E+00,1.06E+00,0.00E+00,-9.89E-04,9.89E-04
2.507100409,0.105821144,-28.80219046,-68.09709242,-29.06978486,2.31031715,,0.00E+00,1.32E+00,0.00E+00,-1.19E-03,1.19E-03
3.300818326,0.026993189,-28.94550849,-67.81123509,-29.02702307,3.485312939,,0.00E+00,1.32E+00,0.00E+00,-1.19E-03,1.19E-03
0.022013163,0.191721712,-28.74586788,-67.99873463,-29.02338075,0.015691486,,0.00E+00,1.60E+00,0.00E+00,-1.38E-03,1.38E-03
